jogador,nacionalidade,posicao,equipe,idade,nascimento,indices
Alexandre Alemão,br BRA,AT,Internacional,24.0,1998.0,"{'MP': 9.0, 'Inícios': 3.0, 'Min.': 340.0, '90s': 3.8, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 0.0, 'xG': 1.2, 'npxG': 1.2, 'xAG': 0.1, 'npxG+xAG': 14.0, 'PrgC': 7.0, 'PrgP': 7.0, 'PrgR': 37.0, 'Gols.1': 26.0, 'Assis..1': 0.0, 'G+A.1': 26.0, 'G-PB.1': 26.0, 'G+A-PB': 26.0, 'xG.1': 33.0, 'xAG.1': 4.0, 'xG+xAG': 36.0, 'npxG.1': 33.0, 'npxG+xAG.1': 36.0}"
Alerrandro,br BRA,AT.LT,Red Bull Bragantino,23.0,2000.0,"{'MP': 14.0, 'Inícios': 2.0, 'Min.': 405.0, '90s': 4.5, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 1.0, 'xG': 3.1, 'npxG': 3.1, 'xAG': 0.2, 'npxG+xAG': 32.0, 'PrgC': 3.0, 'PrgP': 9.0, 'PrgR': 20.0, 'Gols.1': 22.0, 'Assis..1': 0.0, 'G+A.1': 22.0, 'G-PB.1': 22.0, 'G+A-PB': 22.0, 'xG.1': 68.0, 'xAG.1': 3.0, 'xG+xAG': 71.0, 'npxG.1': 68.0, 'npxG+xAG.1': 71.0}"
Alesson,br BRA,AT.LT,Goiás,23.0,1999.0,"{'MP': 23.0, 'Inícios': 3.0, 'Min.': 655.0, '90s': 7.3, 'Gols': 2.0, 'Assis.': 1.0, 'G+A': 3.0, 'G-PB': 2.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 1.1, 'npxG': 1.1, 'xAG': 0.5, 'npxG+xAG': 17.0, 'PrgC': 23.0, 'PrgP': 9.0, 'PrgR': 68.0, 'Gols.1': 27.0, 'Assis..1': 14.0, 'G+A.1': 41.0, 'G-PB.1': 27.0, 'G+A-PB': 41.0, 'xG.1': 16.0, 'xAG.1': 7.0, 'xG+xAG': 23.0, 'npxG.1': 16.0, 'npxG+xAG.1': 23.0}"
Alex,br BRA,ZG,Santos,23.0,1999.0,"{'MP': 6.0, 'Inícios': 5.0, 'Min.': 455.0, '90s': 5.1, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.1, 'npxG': 0.1, 'xAG': 0.4, 'npxG+xAG': 6.0, 'PrgC': 3.0, 'PrgP': 7.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 3.0, 'xAG.1': 8.0, 'xG+xAG': 11.0, 'npxG.1': 3.0, 'npxG+xAG.1': 11.0}"
Caio Alexandre,br BRA,LT,Fortaleza,23.0,1999.0,"{'MP': 34.0, 'Inícios': 32.0, 'Min.': 2.624, '90s': 29.2, 'Gols': 2.0, 'Assis.': 2.0, 'G+A': 4.0, 'G-PB': 2.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 4.0, 'CrtV': 0.0, 'xG': 2.0, 'npxG': 2.0, 'xAG': 2.8, 'npxG+xAG': 48.0, 'PrgC': 91.0, 'PrgP': 208.0, 'PrgR': 37.0, 'Gols.1': 7.0, 'Assis..1': 7.0, 'G+A.1': 14.0, 'G-PB.1': 7.0, 'G+A-PB': 14.0, 'xG.1': 7.0, 'xAG.1': 10.0, 'xG+xAG': 17.0, 'npxG.1': 7.0, 'npxG+xAG.1': 17.0}"
Matheus Alexandre,br BRA,ZG,Cuiabá,23.0,1999.0,"{'MP': 35.0, 'Inícios': 33.0, 'Min.': 2.98, '90s': 33.1, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 5.0, 'CrtV': 0.0, 'xG': 0.8, 'npxG': 0.8, 'xAG': 1.2, 'npxG+xAG': 19.0, 'PrgC': 41.0, 'PrgP': 109.0, 'PrgR': 97.0, 'Gols.1': 3.0, 'Assis..1': 0.0, 'G+A.1': 3.0, 'G-PB.1': 3.0, 'G+A-PB': 3.0, 'xG.1': 2.0, 'xAG.1': 3.0, 'xG+xAG': 6.0, 'npxG.1': 2.0, 'npxG+xAG.1': 6.0}"
Alexsander,br BRA,LT.ZG,Fluminense,19.0,2003.0,"{'MP': 19.0, 'Inícios': 13.0, 'Min.': 1.194, '90s': 13.3, 'Gols': 0.0, 'Assis.': 1.0, 'G+A': 1.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.3, 'npxG': 0.3, 'xAG': 1.4, 'npxG+xAG': 17.0, 'PrgC': 38.0, 'PrgP': 53.0, 'PrgR': 53.0, 'Gols.1': 0.0, 'Assis..1': 8.0, 'G+A.1': 8.0, 'G-PB.1': 0.0, 'G+A-PB': 8.0, 'xG.1': 2.0, 'xAG.1': 11.0, 'xG+xAG': 13.0, 'npxG.1': 2.0, 'npxG+xAG.1': 13.0}"
Alison,br BRA,LT,Santos,29.0,1993.0,"{'MP': 5.0, 'Inícios': 2.0, 'Min.': 136.0, '90s': 1.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 3.0, 'PrgP': 1.0, 'PrgR': 1.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Alisson,br BRA,LT.ZG,Atlético Mineiro,17.0,2005.0,"{'MP': 5.0, 'Inícios': 0.0, 'Min.': 49.0, '90s': 0.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.2, 'npxG+xAG': 2.0, 'PrgC': 3.0, 'PrgP': 3.0, 'PrgR': 10.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 3.0, 'xAG.1': 33.0, 'xG+xAG': 35.0, 'npxG.1': 3.0, 'npxG+xAG.1': 35.0}"
Alisson,br BRA,LT.AT,São Paulo,29.0,1993.0,"{'MP': 35.0, 'Inícios': 26.0, 'Min.': 2.153, '90s': 23.9, 'Gols': 0.0, 'Assis.': 5.0, 'G+A': 5.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 0.0, 'xG': 1.1, 'npxG': 1.1, 'xAG': 2.7, 'npxG+xAG': 38.0, 'PrgC': 40.0, 'PrgP': 144.0, 'PrgR': 105.0, 'Gols.1': 0.0, 'Assis..1': 21.0, 'G+A.1': 21.0, 'G-PB.1': 0.0, 'G+A-PB': 21.0, 'xG.1': 5.0, 'xAG.1': 11.0, 'xG+xAG': 16.0, 'npxG.1': 5.0, 'npxG+xAG.1': 16.0}"
