jogador,nacionalidade,posicao,equipe,idade,nascimento,indices
Hayner,br BRA,ZG.LT,Coritiba,27.0,1995.0,"{'MP': 8.0, 'Inícios': 3.0, 'Min.': 304.0, '90s': 3.4, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.3, 'npxG+xAG': 3.0, 'PrgC': 14.0, 'PrgP': 14.0, 'PrgR': 15.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 9.0, 'xG+xAG': 9.0, 'npxG.1': 0.0, 'npxG+xAG.1': 9.0}"
Thiago Heleno,br BRA,ZG,Ath Paranaense,34.0,1988.0,"{'MP': 32.0, 'Inícios': 31.0, 'Min.': 2.779, '90s': 30.9, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 9.0, 'CrtV': 0.0, 'xG': 0.8, 'npxG': 0.8, 'xAG': 0.4, 'npxG+xAG': 12.0, 'PrgC': 2.0, 'PrgP': 87.0, 'PrgR': 2.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 3.0, 'xAG.1': 1.0, 'xG+xAG': 4.0, 'npxG.1': 3.0, 'npxG+xAG.1': 4.0}"
Helinho,br BRA,AT,Red Bull Bragantino,22.0,2000.0,"{'MP': 24.0, 'Inícios': 20.0, 'Min.': 1.384, '90s': 15.4, 'Gols': 3.0, 'Assis.': 2.0, 'G+A': 5.0, 'G-PB': 3.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 8.0, 'CrtV': 0.0, 'xG': 3.2, 'npxG': 3.2, 'xAG': 3.9, 'npxG+xAG': 71.0, 'PrgC': 54.0, 'PrgP': 73.0, 'PrgR': 168.0, 'Gols.1': 20.0, 'Assis..1': 13.0, 'G+A.1': 33.0, 'G-PB.1': 20.0, 'G+A-PB': 33.0, 'xG.1': 21.0, 'xAG.1': 25.0, 'xG+xAG': 46.0, 'npxG.1': 21.0, 'npxG+xAG.1': 46.0}"
Henrique,br BRA,ZG,Coritiba,36.0,1986.0,"{'MP': 24.0, 'Inícios': 23.0, 'Min.': 2.024, '90s': 22.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 7.0, 'CrtV': 0.0, 'xG': 0.5, 'npxG': 0.5, 'xAG': 0.0, 'npxG+xAG': 5.0, 'PrgC': 3.0, 'PrgP': 31.0, 'PrgR': 0.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 2.0, 'xAG.1': 0.0, 'xG+xAG': 2.0, 'npxG.1': 2.0, 'npxG+xAG.1': 2.0}"
Bruno Henrique,br BRA,AT.LT,Flamengo,32.0,1990.0,"{'MP': 29.0, 'Inícios': 14.0, 'Min.': 1.543, '90s': 17.1, 'Gols': 2.0, 'Assis.': 1.0, 'G+A': 3.0, 'G-PB': 2.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 7.0, 'CrtV': 1.0, 'xG': 3.8, 'npxG': 3.8, 'xAG': 1.9, 'npxG+xAG': 57.0, 'PrgC': 64.0, 'PrgP': 39.0, 'PrgR': 198.0, 'Gols.1': 12.0, 'Assis..1': 6.0, 'G+A.1': 17.0, 'G-PB.1': 12.0, 'G+A-PB': 17.0, 'xG.1': 22.0, 'xAG.1': 11.0, 'xG+xAG': 33.0, 'npxG.1': 22.0, 'npxG+xAG.1': 33.0}"
Bruno Henrique,br BRA,LT,Internacional,33.0,1989.0,"{'MP': 20.0, 'Inícios': 10.0, 'Min.': 1.05, '90s': 11.7, 'Gols': 2.0, 'Assis.': 0.0, 'G+A': 2.0, 'G-PB': 2.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 1.2, 'npxG': 1.2, 'xAG': 1.8, 'npxG+xAG': 31.0, 'PrgC': 18.0, 'PrgP': 78.0, 'PrgR': 28.0, 'Gols.1': 17.0, 'Assis..1': 0.0, 'G+A.1': 17.0, 'G-PB.1': 17.0, 'G+A-PB': 17.0, 'xG.1': 10.0, 'xAG.1': 16.0, 'xG+xAG': 26.0, 'npxG.1': 10.0, 'npxG+xAG.1': 26.0}"
Dalbert Henrique,br BRA,ZG,Internacional,29.0,1993.0,"{'MP': 9.0, 'Inícios': 7.0, 'Min.': 497.0, '90s': 5.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.2, 'npxG+xAG': 2.0, 'PrgC': 5.0, 'PrgP': 21.0, 'PrgR': 21.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 1.0, 'xAG.1': 4.0, 'xG+xAG': 4.0, 'npxG.1': 1.0, 'npxG+xAG.1': 4.0}"
Fernando Henrique,br BRA,LT,Cruzeiro,21.0,2001.0,"{'MP': 7.0, 'Inícios': 0.0, 'Min.': 131.0, '90s': 1.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 1.0, 'xG': 1.0, 'npxG': 1.0, 'xAG': 0.0, 'npxG+xAG': 10.0, 'PrgC': 0.0, 'PrgP': 4.0, 'PrgR': 4.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 66.0, 'xAG.1': 0.0, 'xG+xAG': 66.0, 'npxG.1': 66.0, 'npxG+xAG.1': 66.0}"
Luis Henrique,br BRA,AT.LT,Botafogo (RJ),21.0,2001.0,"{'MP': 34.0, 'Inícios': 13.0, 'Min.': 1.381, '90s': 15.3, 'Gols': 4.0, 'Assis.': 2.0, 'G+A': 6.0, 'G-PB': 4.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 3.3, 'npxG': 3.3, 'xAG': 1.6, 'npxG+xAG': 49.0, 'PrgC': 59.0, 'PrgP': 63.0, 'PrgR': 146.0, 'Gols.1': 26.0, 'Assis..1': 13.0, 'G+A.1': 39.0, 'G-PB.1': 26.0, 'G+A-PB': 39.0, 'xG.1': 22.0, 'xAG.1': 10.0, 'xG+xAG': 32.0, 'npxG.1': 22.0, 'npxG+xAG.1': 32.0}"
Mateus Henrique,br BRA,ZG,América (MG),20.0,2002.0,"{'MP': 12.0, 'Inícios': 7.0, 'Min.': 536.0, '90s': 6.0, 'Gols': 0.0, 'Assis.': 1.0, 'G+A': 1.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 1.0, 'xG': 0.2, 'npxG': 0.2, 'xAG': 0.6, 'npxG+xAG': 8.0, 'PrgC': 7.0, 'PrgP': 18.0, 'PrgR': 23.0, 'Gols.1': 0.0, 'Assis..1': 17.0, 'G+A.1': 17.0, 'G-PB.1': 0.0, 'G+A-PB': 17.0, 'xG.1': 3.0, 'xAG.1': 9.0, 'xG+xAG': 13.0, 'npxG.1': 3.0, 'npxG+xAG.1': 13.0}"
Paulo Henrique,br BRA,ZG,Vasco da Gama,26.0,1996.0,"{'MP': 14.0, 'Inícios': 10.0, 'Min.': 852.0, '90s': 9.5, 'Gols': 1.0, 'Assis.': 1.0, 'G+A': 2.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.3, 'npxG': 0.3, 'xAG': 0.9, 'npxG+xAG': 12.0, 'PrgC': 22.0, 'PrgP': 30.0, 'PrgR': 39.0, 'Gols.1': 11.0, 'Assis..1': 11.0, 'G+A.1': 21.0, 'G-PB.1': 11.0, 'G+A-PB': 21.0, 'xG.1': 3.0, 'xAG.1': 10.0, 'xG+xAG': 13.0, 'npxG.1': 3.0, 'npxG+xAG.1': 13.0}"
Pedro Henrique,br BRA,ZG,Ath Paranaense,27.0,1995.0,"{'MP': 11.0, 'Inícios': 10.0, 'Min.': 855.0, '90s': 9.5, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.6, 'npxG': 0.6, 'xAG': 0.1, 'npxG+xAG': 7.0, 'PrgC': 8.0, 'PrgP': 35.0, 'PrgR': 2.0, 'Gols.1': 11.0, 'Assis..1': 0.0, 'G+A.1': 11.0, 'G-PB.1': 11.0, 'G+A-PB': 11.0, 'xG.1': 6.0, 'xAG.1': 1.0, 'xG+xAG': 7.0, 'npxG.1': 6.0, 'npxG+xAG.1': 7.0}"
Pedro Henrique,br BRA,AT.LT,Internacional,32.0,1990.0,"{'MP': 26.0, 'Inícios': 14.0, 'Min.': 1.271, '90s': 14.1, 'Gols': 3.0, 'Assis.': 2.0, 'G+A': 5.0, 'G-PB': 2.0, 'PB': 1.0, 'PT': 1.0, 'CrtsA': 4.0, 'CrtV': 0.0, 'xG': 4.4, 'npxG': 3.6, 'xAG': 1.0, 'npxG+xAG': 46.0, 'PrgC': 43.0, 'PrgP': 24.0, 'PrgR': 122.0, 'Gols.1': 21.0, 'Assis..1': 14.0, 'G+A.1': 35.0, 'G-PB.1': 14.0, 'G+A-PB': 28.0, 'xG.1': 31.0, 'xAG.1': 7.0, 'xG+xAG': 39.0, 'npxG.1': 26.0, 'npxG+xAG.1': 33.0}"
Breno Herculano,br BRA,AT.LT,Goiás,23.0,1999.0,"{'MP': 3.0, 'Inícios': 0.0, 'Min.': 79.0, '90s': 0.9, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.2, 'npxG': 0.2, 'xAG': 0.0, 'npxG+xAG': 3.0, 'PrgC': 0.0, 'PrgP': 1.0, 'PrgR': 5.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 28.0, 'xAG.1': 2.0, 'xG+xAG': 30.0, 'npxG.1': 28.0, 'npxG+xAG.1': 30.0}"
Hércules,br BRA,LT,Fortaleza,22.0,2000.0,"{'MP': 13.0, 'Inícios': 9.0, 'Min.': 771.0, '90s': 8.6, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 1.2, 'npxG': 1.2, 'xAG': 0.1, 'npxG+xAG': 13.0, 'PrgC': 12.0, 'PrgP': 32.0, 'PrgR': 14.0, 'Gols.1': 12.0, 'Assis..1': 0.0, 'G+A.1': 12.0, 'G-PB.1': 12.0, 'G+A-PB': 12.0, 'xG.1': 14.0, 'xAG.1': 1.0, 'xG+xAG': 15.0, 'npxG.1': 14.0, 'npxG+xAG.1': 15.0}"
Diego Hernández,uy URU,AT,Botafogo (RJ),22.0,2000.0,"{'MP': 2.0, 'Inícios': 0.0, 'Min.': 41.0, '90s': 0.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.2, 'npxG': 0.2, 'xAG': 0.0, 'npxG+xAG': 2.0, 'PrgC': 1.0, 'PrgP': 1.0, 'PrgR': 3.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 45.0, 'xAG.1': 0.0, 'xG+xAG': 45.0, 'npxG.1': 45.0, 'npxG+xAG.1': 45.0}"
Nicolás Hernández,co COL,ZG,Internacional,25.0,1998.0,"{'MP': 23.0, 'Inícios': 12.0, 'Min.': 1.295, '90s': 14.4, 'Gols': 0.0, 'Assis.': 2.0, 'G+A': 2.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 6.0, 'CrtV': 0.0, 'xG': 0.2, 'npxG': 0.2, 'xAG': 1.0, 'npxG+xAG': 12.0, 'PrgC': 26.0, 'PrgP': 65.0, 'PrgR': 2.0, 'Gols.1': 0.0, 'Assis..1': 14.0, 'G+A.1': 14.0, 'G-PB.1': 0.0, 'G+A-PB': 14.0, 'xG.1': 1.0, 'xAG.1': 7.0, 'xG+xAG': 8.0, 'npxG.1': 1.0, 'npxG+xAG.1': 8.0}"
Lucca Holanda,br BRA,AT,Internacional,19.0,2003.0,"{'MP': 19.0, 'Inícios': 4.0, 'Min.': 550.0, '90s': 6.1, 'Gols': 0.0, 'Assis.': 1.0, 'G+A': 1.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 1.0, 'xG': 0.6, 'npxG': 0.6, 'xAG': 0.1, 'npxG+xAG': 7.0, 'PrgC': 10.0, 'PrgP': 3.0, 'PrgR': 49.0, 'Gols.1': 0.0, 'Assis..1': 16.0, 'G+A.1': 16.0, 'G-PB.1': 0.0, 'G+A-PB': 16.0, 'xG.1': 9.0, 'xAG.1': 2.0, 'xG+xAG': 11.0, 'npxG.1': 9.0, 'npxG+xAG.1': 11.0}"
Hugo,br BRA,ZG,Goiás,25.0,1997.0,"{'MP': 19.0, 'Inícios': 16.0, 'Min.': 1.418, '90s': 15.8, 'Gols': 1.0, 'Assis.': 1.0, 'G+A': 2.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 0.0, 'xG': 0.4, 'npxG': 0.4, 'xAG': 1.7, 'npxG+xAG': 21.0, 'PrgC': 22.0, 'PrgP': 61.0, 'PrgR': 68.0, 'Gols.1': 6.0, 'Assis..1': 6.0, 'G+A.1': 13.0, 'G-PB.1': 6.0, 'G+A-PB': 13.0, 'xG.1': 2.0, 'xAG.1': 11.0, 'xG+xAG': 13.0, 'npxG.1': 2.0, 'npxG+xAG.1': 13.0}"
Hugo,br BRA,ZG,Botafogo (RJ),21.0,2001.0,"{'MP': 22.0, 'Inícios': 13.0, 'Min.': 1.395, '90s': 15.5, 'Gols': 0.0, 'Assis.': 2.0, 'G+A': 2.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.2, 'npxG': 0.2, 'xAG': 1.6, 'npxG+xAG': 18.0, 'PrgC': 36.0, 'PrgP': 69.0, 'PrgR': 75.0, 'Gols.1': 0.0, 'Assis..1': 13.0, 'G+A.1': 13.0, 'G-PB.1': 0.0, 'G+A-PB': 13.0, 'xG.1': 1.0, 'xAG.1': 10.0, 'xG+xAG': 12.0, 'npxG.1': 1.0, 'npxG+xAG.1': 12.0}"
Victor Hugo,br BRA,LT.AT,Flamengo,18.0,2004.0,"{'MP': 30.0, 'Inícios': 12.0, 'Min.': 1.274, '90s': 14.2, 'Gols': 1.0, 'Assis.': 2.0, 'G+A': 3.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 0.0, 'xG': 1.1, 'npxG': 1.1, 'xAG': 1.7, 'npxG+xAG': 28.0, 'PrgC': 31.0, 'PrgP': 78.0, 'PrgR': 55.0, 'Gols.1': 7.0, 'Assis..1': 14.0, 'G+A.1': 21.0, 'G-PB.1': 7.0, 'G+A-PB': 21.0, 'xG.1': 8.0, 'xAG.1': 12.0, 'xG+xAG': 20.0, 'npxG.1': 8.0, 'npxG+xAG.1': 20.0}"
Vitor Hugo,br BRA,ZG,Bahia,31.0,1991.0,"{'MP': 27.0, 'Inícios': 27.0, 'Min.': 2.129, '90s': 23.7, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 5.0, 'CrtV': 0.0, 'xG': 0.7, 'npxG': 0.7, 'xAG': 0.5, 'npxG+xAG': 12.0, 'PrgC': 22.0, 'PrgP': 85.0, 'PrgR': 3.0, 'Gols.1': 4.0, 'Assis..1': 0.0, 'G+A.1': 4.0, 'G-PB.1': 4.0, 'G+A-PB': 4.0, 'xG.1': 3.0, 'xAG.1': 2.0, 'xG+xAG': 5.0, 'npxG.1': 3.0, 'npxG+xAG.1': 5.0}"
Hulk,br BRA,AT,Atlético Mineiro,36.0,1986.0,"{'MP': 34.0, 'Inícios': 33.0, 'Min.': 2.942, '90s': 32.7, 'Gols': 15.0, 'Assis.': 11.0, 'G+A': 26.0, 'G-PB': 10.0, 'PB': 5.0, 'PT': 5.0, 'CrtsA': 9.0, 'CrtV': 1.0, 'xG': 11.9, 'npxG': 8.4, 'xAG': 6.9, 'npxG+xAG': 154.0, 'PrgC': 87.0, 'PrgP': 109.0, 'PrgR': 204.0, 'Gols.1': 46.0, 'Assis..1': 34.0, 'G+A.1': 80.0, 'G-PB.1': 31.0, 'G+A-PB': 64.0, 'xG.1': 37.0, 'xAG.1': 21.0, 'xG+xAG': 58.0, 'npxG.1': 26.0, 'npxG+xAG.1': 47.0}"
José Hurtado,ec ECU,ZG,Red Bull Bragantino,21.0,2001.0,"{'MP': 25.0, 'Inícios': 17.0, 'Min.': 1.618, '90s': 18.0, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.3, 'npxG': 0.3, 'xAG': 1.1, 'npxG+xAG': 14.0, 'PrgC': 57.0, 'PrgP': 86.0, 'PrgR': 79.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 1.0, 'xAG.1': 6.0, 'xG+xAG': 8.0, 'npxG.1': 1.0, 'npxG+xAG.1': 8.0}"
Hyoran,br BRA,LT.AT,Atlético Mineiro,29.0,1993.0,"{'MP': 12.0, 'Inícios': 12.0, 'Min.': 691.0, '90s': 7.7, 'Gols': 2.0, 'Assis.': 0.0, 'G+A': 2.0, 'G-PB': 2.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 4.0, 'CrtV': 0.0, 'xG': 2.1, 'npxG': 2.1, 'xAG': 3.1, 'npxG+xAG': 52.0, 'PrgC': 16.0, 'PrgP': 35.0, 'PrgR': 30.0, 'Gols.1': 26.0, 'Assis..1': 0.0, 'G+A.1': 26.0, 'G-PB.1': 26.0, 'G+A-PB': 26.0, 'xG.1': 28.0, 'xAG.1': 40.0, 'xG+xAG': 68.0, 'npxG.1': 28.0, 'npxG+xAG.1': 68.0}"
Igor,br BRA,LT,Flamengo,19.0,2003.0,"{'MP': 4.0, 'Inícios': 0.0, 'Min.': 78.0, '90s': 0.9, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.3, 'npxG': 0.3, 'xAG': 0.0, 'npxG+xAG': 3.0, 'PrgC': 2.0, 'PrgP': 6.0, 'PrgR': 3.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 29.0, 'xAG.1': 0.0, 'xG+xAG': 29.0, 'npxG.1': 29.0, 'npxG+xAG.1': 29.0}"
André Inácio,br BRA,AT,Flamengo,20.0,2002.0,"{'MP': 2.0, 'Inícios': 0.0, 'Min.': 16.0, '90s': 0.2, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 1.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 0.0, 'PrgR': 1.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Gabriel Inocêncio,br BRA,ZG,Santos,28.0,1994.0,"{'MP': 22.0, 'Inícios': 12.0, 'Min.': 1.276, '90s': 14.2, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 3.0, 'CrtV': 0.0, 'xG': 0.5, 'npxG': 0.5, 'xAG': 0.3, 'npxG+xAG': 8.0, 'PrgC': 24.0, 'PrgP': 51.0, 'PrgR': 46.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 3.0, 'xAG.1': 2.0, 'xG+xAG': 6.0, 'npxG.1': 3.0, 'npxG+xAG.1': 6.0}"
Isaac,br BRA,AT,Atlético Mineiro,18.0,2004.0,"{'MP': 1.0, 'Inícios': 0.0, 'Min.': 19.0, '90s': 0.2, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 0.0, 'PrgR': 3.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 53.0, 'xG+xAG': 53.0, 'npxG.1': 0.0, 'npxG+xAG.1': 53.0}"
Isaac,br BRA,LT.ZG,Fluminense,18.0,2004.0,"{'MP': 7.0, 'Inícios': 0.0, 'Min.': 131.0, '90s': 1.5, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.3, 'npxG': 0.3, 'xAG': 0.2, 'npxG+xAG': 5.0, 'PrgC': 6.0, 'PrgP': 1.0, 'PrgR': 24.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 18.0, 'xAG.1': 16.0, 'xG+xAG': 34.0, 'npxG.1': 18.0, 'npxG+xAG.1': 34.0}"
Juan Iturbe,py PAR,AT.LT,Grêmio,29.0,1993.0,"{'MP': 5.0, 'Inícios': 1.0, 'Min.': 68.0, '90s': 0.8, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 2.0, 'PrgR': 9.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Zé Ivaldo,br BRA,ZG,Ath Paranaense,25.0,1997.0,"{'MP': 14.0, 'Inícios': 10.0, 'Min.': 1.016, '90s': 11.3, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 2.0, 'CrtV': 1.0, 'xG': 0.1, 'npxG': 0.1, 'xAG': 0.1, 'npxG+xAG': 2.0, 'PrgC': 9.0, 'PrgP': 27.0, 'PrgR': 2.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 1.0, 'xAG.1': 1.0, 'xG+xAG': 2.0, 'npxG.1': 1.0, 'npxG+xAG.1': 2.0}"
Ivonei,br BRA,LT,Santos,20.0,2002.0,"{'MP': 1.0, 'Inícios': 0.0, 'Min.': 3.0, '90s': 0.0, 'Gols': 0.0, 'Assis.': 0.0, 'G+A': 0.0, 'G-PB': 0.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 0.0, 'CrtV': 0.0, 'xG': 0.0, 'npxG': 0.0, 'xAG': 0.0, 'npxG+xAG': 0.0, 'PrgC': 0.0, 'PrgP': 0.0, 'PrgR': 1.0, 'Gols.1': 0.0, 'Assis..1': 0.0, 'G+A.1': 0.0, 'G-PB.1': 0.0, 'G+A-PB': 0.0, 'xG.1': 0.0, 'xAG.1': 0.0, 'xG+xAG': 0.0, 'npxG.1': 0.0, 'npxG+xAG.1': 0.0}"
Vítor Jacaré,br BRA,ZG.LT,Bahia,23.0,1999.0,"{'MP': 18.0, 'Inícios': 7.0, 'Min.': 855.0, '90s': 9.5, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 4.0, 'CrtV': 0.0, 'xG': 1.1, 'npxG': 1.1, 'xAG': 1.5, 'npxG+xAG': 26.0, 'PrgC': 28.0, 'PrgP': 38.0, 'PrgR': 67.0, 'Gols.1': 11.0, 'Assis..1': 0.0, 'G+A.1': 11.0, 'G-PB.1': 11.0, 'G+A-PB': 11.0, 'xG.1': 12.0, 'xAG.1': 17.0, 'xG+xAG': 29.0, 'npxG.1': 12.0, 'npxG+xAG.1': 29.0}"
Jadsom,br BRA,LT,Red Bull Bragantino,21.0,2001.0,"{'MP': 31.0, 'Inícios': 22.0, 'Min.': 1.896, '90s': 21.1, 'Gols': 1.0, 'Assis.': 0.0, 'G+A': 1.0, 'G-PB': 1.0, 'PB': 0.0, 'PT': 0.0, 'CrtsA': 8.0, 'CrtV': 0.0, 'xG': 1.2, 'npxG': 1.2, 'xAG': 1.0, 'npxG+xAG': 22.0, 'PrgC': 16.0, 'PrgP': 136.0, 'PrgR': 51.0, 'Gols.1': 5.0, 'Assis..1': 0.0, 'G+A.1': 5.0, 'G-PB.1': 5.0, 'G+A-PB': 5.0, 'xG.1': 6.0, 'xAG.1': 5.0, 'xG+xAG': 11.0, 'npxG.1': 6.0, 'npxG+xAG.1': 11.0}"
Jair,br BRA,LT,Vasco da Gama,28.0,1994.0,"{'MP': 29.0, 'Inícios': 16.0, 'Min.': 1.589, '90s': 17.7, 'Gols': 3.0, 'Assis.': 0.0, 'G+A': 3.0, 'G-PB': 1.0, 'PB': 2.0, 'PT': 2.0, 'CrtsA': 6.0, 'CrtV': 1.0, 'xG': 2.2, 'npxG': 0.6, 'xAG': 1.1, 'npxG+xAG': 17.0, 'PrgC': 32.0, 'PrgP': 143.0, 'PrgR': 32.0, 'Gols.1': 17.0, 'Assis..1': 0.0, 'G+A.1': 17.0, 'G-PB.1': 6.0, 'G+A-PB': 6.0, 'xG.1': 12.0, 'xAG.1': 6.0, 'xG+xAG': 18.0, 'npxG.1': 4.0, 'npxG+xAG.1': 10.0}"
