Rodrigo Alves,br BRA,LT,Vasco da Gama,20,2002,8,4,352,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidas
Anderson,br BRA,G,Cruzeiro,24,1998,1,1,90,1.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas

Anderson,br BRA,AT.LT,Goiás,24,1998,20,18,1.291,14.3,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,44,39,106,0.00,0.14,0.14,0.00,0.14,0.05,0.09,0.14,0.05,0.14,Partidas
André,br BRA,ZG,Bahia,19,2003,3,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidas
André,br BRA,LT.ZG,Fluminense,21,2001,31,29,2.649,29.4,0,0,0,0,0,0,11,1,0.4,0.4,0.6,0.9,58,184,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidas
Maurício Antônio,br BRA,ZG,Coritiba,30,1992,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidas
Apodi,br BRA,AT.LT,Goiás,36,1986,13,2,382,4.2,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,4,16,0.24,0.00,0.24,0.24,0.24,0.20,0.06,0.25,0.20,0.25,Partidas
Guilherme Arana,br BRA,ZG,Atlético Mineiro,25,1997,28,27,2.385,26.5,2,0,2,2,0,0,2,1,1.0,1.0,1.1,2.1,56,133,122,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08,Partidas
Charles Aránguiz,cl CHI,LT,Internacional,33,1989,22,16,1.267,14.1,0,1,1,0,0,0,3,0,1.0,1.0,1.3,2.2,6,89,28,0.00,0.07,0.07,0.00,0.07,0.07,0.09,0.16,0.07,0.16,Partidas
João Araújo,br BRA,LT,Grêmio,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Luiz Araújo,br BRA,AT.LT,Flamengo,26,1996,20,10,785,8.7,3,1,4,3,0,0,2,1,1.6,1.6,0.7,2.2,29,44,112,0.34,0.11,0.46,0.34,0.46,0.18,0.08,0.26,0.18,0.26,Partidas
Matheus Araújo,br BRA,LT.AT,Corinthians,20,2002,16,3,584,6.5,1,2,3,1,0,0,0,0,1.2,1.2,0.8,2.0,18,30,43,0.15,0.31,0.46,0.15,0.46,0.19,0.13,0.32,0.19,0.32,Partidas
Michel Araujo,uy URU,AT.LT,São Paulo,26,1996,32,19,1.768,19.6,2,1,3,2,0,0,3,0,4.8,4.8,2.4,7.2,71,91,157,0.10,0.05,0.15,0.10,0.15,0.24,0.12,0.37,0.24,0.37,Partidas
Robert Arboleda,ec ECU,ZG,São Paulo,31,1991,20,19,1.721,19.1,0,0,0,0,0,0,1,1,0.9,0.9,0.3,1.2,2,42,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidas
Jhon Arias,co COL,AT.LT,Fluminense,25,1997,29,26,2.385,26.5,7,7,14,5,2,2,5,1,5.8,4.2,4.7,8.9,142,108,300,0.26,0.26,0.53,0.19,0.45,0.22,0.18,0.40,0.16,0.34,Partidas
Luciano Arriagada,cl CHI,AT.LT,Ath Paranaense,20,2002,10,1,190,2.1,0,0,0,0,0,0,0,0,0.9,0.9,0.6,1.5,5,2,12,0.00,0.00,0.00,0.00,0.00,0.42,0.27,0.69,0.42,0.69,Partidas
Arthur,br BRA,AT.LT,Cruzeiro,24,1998,20,17,1.350,15.0,3,1,4,3,0,0,3,0,3.6,3.6,1.3,4.9,66,38,112,0.20,0.07,0.27,0.20,0.27,0.24,0.09,0.33,0.24,0.33,Partidas
Arthur,br BRA,ZG,América (MG),19,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidas
Arthur,br BRA,ZG.AT,Fluminense,18,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,2.44,2.44,0.00,2.44,Partidas
Artur,br BRA,AT,Palmeiras,24,1998,31,22,1.896,21.1,5,2,7,5,0,0,2,0,5.0,5.0,3.4,8.4,85,81,218,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.40,0.24,0.40,Partidas
Eduard Atuesta,co COL,LT,Palmeiras,25,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Felipe Augusto,br BRA,AT.LT,Corinthians,18,2004,15,2,322,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,3,15,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Partidas
Filipe Augusto,br BRA,LT,Cuiabá,29,1993,27,9,1.065,11.8,0,0,0,0,0,0,6,1,0.3,0.3,0.9,1.1,9,78,16,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Partidas
Renato Augusto,br BRA,LT,Corinthians,34,1988,24,16,1.282,14.2,2,4,6,2,0,0,1,0,1.1,1.1,2.1,3.2,38,98,98,0.14,0.28,0.42,0.14,0.42,0.08,0.15,0.22,0.08,0.22,Partidas
Danilo Avelar,br BRA,ZG,América (MG),33,1989,26,24,1.984,22.0,3,1,4,2,1,1,5,1,4.0,3.2,0.7,3.9,11,81,42,0.14,0.05,0.18,0.09,0.14,0.18,0.03,0.21,0.14,0.18,Partidas
Felipe Azevedo,br BRA,AT.LT,América (MG),36,1987,30,25,1.748,19.4,4,1,5,4,0,0,3,1,3.7,3.7,2.0,5.7,31,52,121,0.21,0.05,0.26,0.21,0.26,0.19,0.10,0.29,0.19,0.29,Partidas
Matheus Babi,br BRA,AT,Goiás,25,1997,17,8,881,9.8,4,0,4,4,0,0,5,0,2.6,2.6,0.3,2.8,2,12,39,0.41,0.00,0.41,0.41,0.41,0.26,0.03,0.29,0.26,0.29,Partidas

Matheus Bahia,br BRA,ZG.LT,Bahia,23,1999,12,6,493,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,15,12,21,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Partidas
Fabián Balbuena,py PAR,ZG,Corinthians,31,1991,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidas
Robson Bambu,br BRA,ZG,Vasco da Gama,25,1997,18,16,1.280,14.2,0,0,0,0,0,0,6,0,0.5,0.5,0.1,0.6,5,33,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidas
Gabriel Baralhas,br BRA,LT,Internacional,24,1998,5,2,236,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,13,5,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Partidas
