Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 36_level_0
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
95,Breno,br BRA,AT,Palmeiras,27,1996,31,14,1365,152,5,3,8,5,0,0,1,0,68,68,11,7.9,44,37,110,0.33,0.20,0.53,0.33,0.53,0.45,0.08,0.52,0.45,0.52,Partidas
96,Emanuel Brítez,ar ARG,ZG,Fortaleza,30,1992,31,31,2761,307,0,1,1,0,0,0,11,1,10,10,06,1.6,19,86,17,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Partidas
97,Bruninho,br BRA,"AT,LT",Bragantino,19,2003,16,9,715,79,2,1,3,2,0,0,0,0,27,27,06,3.3,19,36,68,0.25,0.13,0.38,0.25,0.38,0.34,0.07,0.41,0.34,0.41,Partidas
98,Fabrício Bruno,br BRA,ZG,Flamengo,26,1996,34,34,3060,340,0,1,1,0,0,0,8,0,07,07,05,1.2,32,199,7,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.04,0.02,0.04,Partidas
99,Vitor Bueno,br BRA,"LT,AT",Ath Paranaense,28,1994,32,25,2075,231,5,5,10,2,3,3,7,0,53,31,69,9.9,74,149,114,0.22,0.22,0.43,0.09,0.30,0.23,0.30,0.53,0.13,0.43,Partidas
100,Esteban Burgos,ar ARG,ZG,América (MG),31,1992,4,4,294,33,0,0,0,0,0,0,4,1,00,00,00,0.0,1,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
101,Fabricio Bustos,ar ARG,ZG,Internacional,26,1996,29,28,2499,278,3,3,6,3,0,0,4,0,10,10,29,3.9,39,103,151,0.11,0.11,0.22,0.11,0.22,0.04,0.10,0.14,0.04,0.14,Partidas
102,Rafael Cabral,br BRA,G,Cruzeiro,32,1990,37,37,3330,370,0,0,0,0,0,0,3,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
103,Cacá,br BRA,ZG,Ath Paranaense,23,1999,19,19,1694,188,2,0,2,2,0,0,6,0,11,11,03,1.4,12,39,8,0.11,0.00,0.11,0.11,0.11,0.06,0.02,0.08,0.06,0.08,Partidas
104,Cadu,br BRA,ZG,Santos,20,2002,1,0,16,02,0,0,0,0,0,0,0,0,00,00,00,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
105,Caetano,br BRA,ZG,Corinthians,23,1999,16,13,1204,134,0,0,0,0,0,0,3,0,02,02,00,0.2,2,35,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidas
106,Jonathan Cafu,br BRA,"AT,LT",Cuiabá,31,1991,32,23,1708,190,0,3,3,0,0,0,5,0,15,15,10,2.5,39,50,169,0.00,0.16,0.16,0.00,0.16,0.08,0.05,0.13,0.08,0.13,Partidas
107,Júnior Caiçara,br BRA,ZG,Santos,33,1989,5,1,169,19,0,0,0,0,0,0,1,0,00,00,00,0.0,6,8,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
108,Rodrigo Caio,br BRA,"LT,ZG",Flamengo,29,1993,5,0,65,07,0,0,0,0,0,0,0,0,00,00,00,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
109,Caíque,br BRA,G,Grêmio,25,1997,4,4,360,40,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
110,Calebe,br BRA,"LT,AT",Fortaleza,22,2000,29,16,1479,164,2,5,7,2,0,0,2,0,30,30,48,7.8,69,78,127,0.12,0.30,0.43,0.12,0.43,0.18,0.29,0.48,0.18,0.48,Partidas
111,Jonathan Calleri,ar ARG,AT,São Paulo,29,1993,19,15,1350,150,9,2,11,7,2,2,6,0,85,69,07,7.6,15,22,101,0.60,0.13,0.73,0.47,0.60,0.56,0.04,0.61,0.46,0.50,Partidas
112,Patric Calmon PK,br BRA,ZG,Cuiabá,28,1994,15,5,520,58,0,0,0,0,0,0,3,1,02,02,03,0.4,14,29,30,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Partidas
113,Guilherme Camacho,br BRA,LT,Santos,32,1990,11,4,448,50,0,0,0,0,0,0,5,1,00,00,02,0.2,0,20,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidas
114,Nathan Camargo,br BRA,LT,Bragantino,17,2005,1,0,12,01,0,0,0,0,0,0,0,0,00,00,01,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Partidas
115,Gustavo Campanharo,br BRA,LT,Internacional,30,1992,15,8,695,77,0,0,0,0,0,0,6,0,01,01,00,0.1,9,33,13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Partidas
116,Camilo Cándido,uy URU,ZG,Bahia,27,1995,19,15,1244,138,1,2,3,1,0,0,2,1,04,04,13,1.6,18,62,91,0.07,0.14,0.22,0.07,0.22,0.03,0.09,0.12,0.03,0.12,Partidas
117,Luan Cândido,br BRA,ZG,Bragantino,21,2001,22,11,1082,120,1,1,2,1,0,0,3,0,18,18,12,2.9,19,55,42,0.08,0.08,0.17,0.08,0.17,0.15,0.10,0.24,0.15,0.24,Partidas
118,Germán Cano,ar ARG,AT,Fluminense,34,1988,30,28,2465,274,10,1,11,10,0,1,8,0,100,92,11,10.3,18,25,87,0.37,0.04,0.40,0.37,0.40,0.37,0.04,0.40,0.34,0.38,Partidas
119,Agustín Canobbio,uy URU,"AT,LT",Ath Paranaense,24,1998,29,22,2116,235,3,5,8,3,0,0,10,0,55,55,35,9.0,81,76,223,0.13,0.21,0.34,0.13,0.34,0.23,0.15,0.38,0.23,0.38,Partidas
120,Víctor Cantillo,co COL,LT,Corinthians,29,1993,6,2,266,30,0,0,0,0,0,0,0,0,01,01,01,0.1,2,9,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidas
121,Manuel Capasso,ar ARG,ZG,Vasco da Gama,26,1996,9,6,554,62,0,0,0,0,0,0,4,0,01,01,00,0.1,1,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidas
122,Juninho Capixaba,br BRA,ZG,Bragantino,25,1997,34,33,2875,319,2,1,3,2,0,0,12,0,29,29,45,7.4,71,231,127,0.06,0.03,0.09,0.06,0.09,0.09,0.14,0.23,0.09,0.23,Partidas
123,Gabriel Carabajal,ar ARG,LT,Vasco da Gama,31,1991,6,0,122,14,0,1,1,0,0,0,0,0,02,02,04,0.6,3,14,11,0.00,0.74,0.74,0.00,0.74,0.13,0.28,0.41,0.13,0.41,Partidas
124,Felipe Carballo,uy URU,LT,Grêmio,26,1996,22,21,1540,171,1,1,2,1,0,0,3,0,15,15,12,2.7,23,87,45,0.06,0.06,0.12,0.06,0.12,0.09,0.07,0.16,0.09,0.16,Partidas
125,Johnny Cardoso,us USA,LT,Internacional,21,2001,22,20,1607,179,2,2,4,2,0,0,7,0,11,11,10,2.2,18,70,24,0.11,0.11,0.22,0.11,0.22,0.06,0.06,0.12,0.06,0.12,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
126,Ed Carlos,br BRA,"LT,AT",Santos,21,2001,4,0,36,04,0,0,0,0,0,0,0,0,00,00,00,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Partidas
127,João Carlos,br BRA,G,Cuiabá,34,1988,3,3,270,30,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
128,Ryan Carlos,br BRA,ZG,Bahia,20,2002,9,5,578,64,0,1,1,0,0,0,3,0,01,01,05,0.6,21,42,44,0.00,0.16,0.16,0.00,0.16,0.01,0.08,0.09,0.01,0.09,Partidas
129,Alan Carvalho,cn CHN,LT,Fluminense,33,1989,1,1,45,05,1,0,1,1,0,0,0,0,06,06,00,0.6,0,0,1,2.00,0.00,2.00,2.00,2.00,1.27,0.00,1.27,1.27,1.27,Partidas
130,Breno Cascardo,br BRA,LT,América (MG),19,2003,24,13,1162,129,1,0,1,1,0,0,2,0,13,13,05,1.8,28,80,39,0.08,0.00,0.08,0.08,0.08,0.10,0.04,0.14,0.10,0.14,Partidas
131,Cássio,br BRA,G,Corinthians,35,1987,37,37,3310,368,0,0,0,0,0,0,2,0,00,00,01,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
132,Luciano Castán,br BRA,ZG,Cruzeiro,33,1989,36,36,3210,357,1,0,1,1,0,0,7,0,13,13,03,1.6,23,124,7,0.03,0.00,0.03,0.03,0.03,0.04,0.01,0.04,0.04,0.04,Partidas
133,Iury de Castilho,br BRA,AT,Cuiabá,27,1995,10,4,398,44,0,0,0,0,0,0,1,0,06,06,02,0.8,11,9,26,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.17,0.13,0.17,Partidas
134,Matheus Cavichioli,br BRA,G,América (MG),36,1986,15,15,1348,150,0,0,0,0,0,0,0,1,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
135,Juan Cazares,ec ECU,"LT,AT",América (MG),30,1992,12,1,283,31,0,1,1,0,0,0,0,0,03,03,11,1.3,5,18,23,0.00,0.32,0.32,0.00,0.32,0.09,0.34,0.42,0.09,0.42,Partidas
136,Brayan Ceballos,co COL,ZG,Fortaleza,21,2001,3,2,206,23,0,0,0,0,0,0,2,0,01,01,00,0.1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidas
137,Pablo Ceppelini,uy URU,LT,Cuiabá,31,1991,21,12,997,111,0,3,3,0,0,0,3,0,11,11,22,3.3,23,74,58,0.00,0.27,0.27,0.00,0.27,0.10,0.20,0.30,0.10,0.30,Partidas
138,Murilo Cerqueira,br BRA,ZG,Palmeiras,25,1997,25,24,2165,241,3,2,5,3,0,0,6,1,10,10,17,2.7,14,81,1,0.12,0.08,0.21,0.12,0.21,0.04,0.07,0.11,0.04,0.11,Partidas
139,Ricardo Cerqueira,br BRA,LT,Cuiabá,20,2002,1,0,8,01,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
140,Júlio César,br BRA,ZG,América (MG),19,2003,9,6,595,66,0,1,1,0,0,0,1,0,02,02,00,0.3,3,21,1,0.00,0.15,0.15,0.00,0.15,0.03,0.01,0.04,0.03,0.04,Partidas
141,Reynaldo Cesar Moraes,br BRA,ZG,Cruzeiro,26,1997,2,1,66,07,0,0,0,0,0,0,0,0,00,00,00,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
142,Reynaldo Cesar Moraes,br BRA,ZG,Coritiba,26,1997,6,1,245,27,0,0,0,0,0,0,3,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
143,Kayky Chagas,br BRA,"AT,LT",Bahia,19,2003,10,6,410,46,2,1,3,2,0,0,2,0,15,15,06,2.1,16,16,33,0.44,0.22,0.66,0.44,0.66,0.32,0.14,0.45,0.32,0.45,Partidas
144,Jhon Chancellor,ve VEN,ZG,Coritiba,31,1992,4,3,303,34,0,0,0,0,0,0,0,0,00,00,00,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidas
145,Gabriel Chapecó,br BRA,G,Grêmio,22,2000,31,31,2790,310,0,0,0,0,0,0,5,0,00,00,01,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
146,Gabriel Chaves,br BRA,"AT,LT",Vasco da Gama,21,2001,37,29,2612,290,8,4,12,8,0,0,6,0,91,91,50,14.1,92,33,204,0.28,0.14,0.41,0.28,0.41,0.31,0.17,0.49,0.31,0.49,Partidas
147,Jhoanner Chávez,ec ECU,"ZG,LT",Bahia,20,2002,10,7,589,65,0,0,0,0,0,0,1,0,02,02,05,0.7,12,17,49,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Partidas
148,Chiqueti,br BRA,LT,Ath Paranaense,17,2005,1,0,15,02,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Partidas
149,Christian,br BRA,"LT,AT",Ath Paranaense,22,2000,21,14,1362,151,4,0,4,4,0,0,1,0,27,27,14,4.1,23,69,71,0.26,0.00,0.26,0.26,0.26,0.18,0.09,0.27,0.18,0.27,Partidas
150,Cicinho,bg BUL,ZG,Bahia,34,1988,13,9,753,84,0,0,0,0,0,0,4,0,04,04,03,0.8,17,27,36,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
151,Cipriano,br BRA,ZG,Bragantino,20,2002,1,1,75,08,0,0,0,0,0,0,1,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
152,Marcelo Cirino,br BRA,"AT,LT",Ath Paranaense,31,1992,4,1,102,11,0,0,0,0,0,0,1,0,04,04,01,0.5,1,1,6,0.00,0.00,0.00,0.00,0.00,0.33,0.07,0.41,0.33,0.41,Partidas
153,Léo Cittadini,br BRA,LT,Bahia,28,1994,7,1,139,15,0,0,0,0,0,0,1,0,01,01,00,0.1,3,8,8,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Partidas
154,Léo Cittadini,br BRA,"LT,AT",Ath Paranaense,28,1994,5,3,201,22,0,0,0,0,0,0,0,0,01,01,07,0.9,3,8,7,0.00,0.00,0.00,0.00,0.00,0.07,0.33,0.39,0.07,0.39,Partidas
155,Mateus Claus,br BRA,G,Bahia,28,1994,1,0,53,06,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
156,Clayson,br BRA,"AT,LT",Cuiabá,27,1995,23,22,1639,182,7,2,9,4,3,3,3,1,45,21,19,4.0,50,68,124,0.38,0.11,0.49,0.22,0.33,0.25,0.11,0.35,0.12,0.22,Partidas
157,Mateus Cocão,br BRA,LT,Vasco da Gama,20,2002,9,3,347,39,0,0,0,0,0,0,3,0,04,04,06,1.0,0,23,6,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.26,0.10,0.26,Partidas
158,Diego Costa,es ESP,AT,Botafogo (RJ),34,1988,13,3,517,57,3,0,3,3,0,0,6,0,19,19,01,2.0,9,14,42,0.52,0.00,0.52,0.52,0.52,0.33,0.02,0.35,0.33,0.35,Partidas
159,Philippe Costa,br BRA,AT,Goiás,22,2000,4,0,109,12,0,0,0,0,0,0,0,0,02,02,06,0.8,0,2,4,0.00,0.00,0.00,0.00,0.00,0.19,0.47,0.66,0.19,0.66,Partidas
160,Talles Costa,br BRA,"LT,AT",São Paulo,20,2002,7,1,135,15,0,0,0,0,0,0,1,0,02,02,00,0.3,5,10,6,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.17,0.16,0.17,Partidas
161,Lucas Crispim,br BRA,"LT,ZG",Fortaleza,28,1994,17,5,488,54,0,0,0,0,0,0,0,0,02,02,04,0.7,11,49,23,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Partidas
162,Franco Cristaldo,ar ARG,"LT,AT",Grêmio,26,1996,34,31,2131,237,8,5,13,5,3,4,0,0,66,36,45,8.1,23,131,142,0.34,0.21,0.55,0.21,0.42,0.28,0.19,0.47,0.15,0.34,Partidas
163,Tomás Cuello,ar ARG,"LT,AT",Ath Paranaense,22,2000,32,22,2055,228,0,4,4,0,0,0,5,0,15,15,47,6.2,81,71,173,0.00,0.18,0.18,0.00,0.18,0.07,0.20,0.27,0.07,0.27,Partidas
164,Víctor Cuesta,ar ARG,ZG,Botafogo (RJ),34,1988,35,35,3150,350,1,1,2,1,0,0,9,0,24,22,08,3.0,10,120,7,0.03,0.03,0.06,0.03,0.06,0.07,0.02,0.09,0.06,0.09,Partidas
165,Cuiabano,br BRA,"ZG,LT",Grêmio,19,2003,11,5,490,54,1,0,1,1,0,0,3,0,07,07,02,0.9,13,16,34,0.18,0.00,0.18,0.18,0.18,0.14,0.03,0.17,0.14,0.17,Partidas
166,Lucas Cunha,br BRA,ZG,Bragantino,26,1997,1,1,70,08,0,0,0,0,0,0,0,0,00,00,00,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidas
167,Matheus Cunha,br BRA,G,Flamengo,21,2001,19,18,1580,176,0,0,0,0,0,0,1,0,00,00,00,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
168,Ian Custódio,br BRA,ZG,Palmeiras,19,2003,1,0,17,02,0,0,0,0,0,0,0,0,00,00,00,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
169,João Dalla Corte,br BRA,ZG,Internacional,16,2006,1,0,20,02,0,0,0,0,0,0,0,0,00,00,00,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
170,Danielzinho,br BRA,"AT,LT",Bahia,27,1996,5,0,79,09,0,0,0,0,0,0,0,0,00,00,02,0.3,4,20,4,0.00,0.00,0.00,0.00,0.00,0.05,0.27,0.31,0.05,0.31,Partidas
171,Danielzinho,br BRA,AT,Ath Paranaense,20,2002,1,0,1,00,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
172,Danielzinho,br BRA,LT,Fluminense,27,1996,12,8,612,68,0,0,0,0,0,0,1,0,04,04,13,1.6,19,65,21,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.24,0.05,0.24,Partidas
173,David,br BRA,"AT,LT",São Paulo,27,1995,22,6,733,81,2,2,4,2,0,0,5,0,31,31,12,4.3,24,25,80,0.25,0.25,0.49,0.25,0.49,0.38,0.14,0.52,0.38,0.52,Partidas
174,Giorgian De Arrascaeta,uy URU,"LT,AT",Flamengo,28,1994,28,22,1842,205,7,6,13,7,0,0,3,0,49,49,56,10.5,38,152,170,0.34,0.29,0.64,0.34,0.64,0.24,0.27,0.51,0.24,0.51,Partidas
175,Sergio Antonio De Luiz Junior,br BRA,"LT,ZG",Vasco da Gama,27,1995,9,5,359,40,2,0,2,2,0,0,2,0,14,14,04,1.7,4,10,32,0.50,0.00,0.50,0.50,0.50,0.34,0.09,0.43,0.34,0.43,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
176,Denilson,br BRA,LT,Cuiabá,21,2001,33,23,1908,212,1,3,4,1,0,0,8,0,13,13,26,3.9,35,128,63,0.05,0.14,0.19,0.05,0.19,0.06,0.12,0.18,0.06,0.18,Partidas
177,Denzel,br BRA,AT,Goiás,20,2003,1,0,25,03,0,0,0,0,0,0,0,0,00,00,00,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
178,Deyverson,br BRA,AT,Cuiabá,31,1991,36,34,2906,323,12,2,14,9,3,4,6,0,123,94,27,12.1,17,73,152,0.37,0.06,0.43,0.28,0.34,0.38,0.08,0.46,0.29,0.37,Partidas
179,Leonel Di Plácido,ar ARG,ZG,Botafogo (RJ),29,1994,32,25,2355,262,1,4,5,1,0,0,5,0,02,02,25,2.7,57,106,84,0.04,0.15,0.19,0.04,0.19,0.01,0.09,0.10,0.01,0.10,Partidas
180,Gabriel Dias,br BRA,ZG,Vasco da Gama,28,1994,1,0,12,01,0,0,0,0,0,0,1,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
181,Jean Dias,br BRA,"AT,LT",Internacional,32,1990,10,1,321,36,1,1,2,1,0,0,1,0,10,10,03,1.3,12,5,26,0.28,0.28,0.56,0.28,0.56,0.28,0.09,0.37,0.28,0.37,Partidas
182,Luan Dias,br BRA,"LT,AT",Santos,25,1997,8,1,191,21,0,0,0,0,0,0,3,0,00,00,00,0.0,7,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidas
183,Matheus Dias,br BRA,"LT,AT",Internacional,25,1997,14,6,405,45,0,0,0,0,0,0,5,0,01,01,01,0.3,9,16,16,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Partidas
184,Diego,br BRA,ZG,São Paulo,23,1999,23,20,1744,194,0,0,0,0,0,0,6,0,06,06,01,0.6,2,61,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidas
185,Dieguinho,br BRA,"ZG,AT",Goiás,27,1995,15,12,1080,120,0,1,1,0,0,0,3,0,04,04,08,1.2,27,42,34,0.00,0.08,0.08,0.00,0.08,0.03,0.07,0.10,0.03,0.10,Partidas
186,Diogo,br BRA,"AT,LT",Coritiba,26,1996,15,9,756,84,1,1,2,1,0,0,2,0,27,27,03,2.9,7,10,26,0.12,0.12,0.24,0.12,0.24,0.32,0.03,0.35,0.32,0.35,Partidas
187,Dodi,br BRA,LT,Santos,26,1996,28,20,1721,191,0,0,0,0,0,0,10,0,09,09,05,1.4,19,27,18,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Partidas
188,Dodô,br BRA,ZG,Atlético Mineiro,30,1992,1,1,59,07,0,0,0,0,0,0,0,0,00,00,00,0.0,2,8,7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidas
189,Dodô,br BRA,ZG,Santos,30,1992,18,18,1426,158,0,1,1,0,0,0,4,0,05,05,17,2.2,26,82,42,0.00,0.06,0.06,0.00,0.06,0.03,0.11,0.14,0.03,0.14,Partidas
190,Dodô,br BRA,"LT,AT",Goiás,21,2001,15,0,323,36,2,0,2,2,0,0,1,0,12,12,04,1.7,7,13,9,0.56,0.00,0.56,0.56,0.56,0.34,0.12,0.46,0.34,0.46,Partidas
191,Thiago Dombroski,br BRA,ZG,Coritiba,20,2002,7,7,504,56,0,0,0,0,0,0,4,0,01,01,00,0.1,5,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidas
192,Halerrandrio dos Santos,br BRA,LT,Goiás,16,2006,1,0,29,03,0,0,0,0,0,0,0,0,00,00,00,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidas
193,Thiago dos Santos,br BRA,"ZG,LT",Fluminense,33,1989,16,9,819,91,0,0,0,0,0,0,7,1,02,02,01,0.3,10,50,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Partidas
194,Henrique Dourado,br BRA,AT,Cruzeiro,33,1989,11,2,342,38,1,0,1,1,0,0,2,0,23,23,07,3.0,4,4,19,0.26,0.00,0.26,0.26,0.26,0.61,0.17,0.78,0.61,0.78,Partidas
195,David Duarte,br BRA,ZG,Bahia,28,1995,11,10,867,96,1,0,1,1,0,0,3,0,06,06,00,0.6,5,17,0,0.10,0.00,0.10,0.10,0.10,0.06,0.00,0.06,0.06,0.06,Partidas
196,Dudu,br BRA,LT,Ath Paranaense,17,2006,1,0,1,00,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
197,Dudu,br BRA,AT,Palmeiras,31,1992,14,14,1076,120,3,3,6,3,0,0,0,0,24,24,34,5.8,78,74,127,0.25,0.25,0.50,0.25,0.50,0.20,0.28,0.49,0.20,0.49,Partidas
198,Éberth,br BRA,AT,Coritiba,19,2003,1,0,25,03,0,0,0,0,0,0,0,0,00,00,00,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidas
199,Edenílson,br BRA,"LT,AT",Atlético Mineiro,33,1989,28,15,1368,152,1,2,3,1,0,0,1,0,05,05,18,2.3,24,57,50,0.07,0.13,0.20,0.07,0.20,0.03,0.12,0.15,0.03,0.15,Partidas
200,Eder,br BRA,ZG,América (MG),27,1995,24,17,1566,174,0,0,0,0,0,0,7,1,04,04,02,0.5,9,54,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
201,EDU,br BRA,ZG,Goiás,22,2000,9,4,435,48,0,0,0,0,0,0,1,0,04,04,01,0.5,1,10,0,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Partidas
202,Edu,br BRA,"AT,LT",Coritiba,29,1993,10,2,320,36,2,0,2,2,0,0,0,0,25,25,04,3.0,5,7,17,0.56,0.00,0.56,0.56,0.56,0.72,0.12,0.83,0.72,0.83,Partidas
