Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 36_level_0
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
24,Rodrigo Alves,br BRA,LT,Vasco da Gama,20,2002,8,4,352,39,0,0,0,0,0,0,1,0,00,00,00,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidas
25,Anderson,br BRA,G,Cruzeiro,24,1998,1,1,90,10,0,0,0,0,0,0,2,1,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
26,Anderson,br BRA,"AT,LT",Goiás,24,1998,20,18,1291,143,0,2,2,0,0,0,1,0,07,07,13,2.0,44,39,106,0.00,0.14,0.14,0.00,0.14,0.05,0.09,0.14,0.05,0.14,Partidas
27,André,br BRA,ZG,Bahia,19,2003,3,1,125,14,0,0,0,0,0,0,1,0,00,00,00,0.0,2,4,12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidas
28,André,br BRA,"LT,ZG",Fluminense,21,2001,31,29,2649,294,0,0,0,0,0,0,11,1,04,04,06,0.9,58,184,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidas
29,Maurício Antônio,br BRA,ZG,Coritiba,30,1992,3,1,180,20,0,0,0,0,0,0,0,0,00,00,00,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidas
30,Apodi,br BRA,"AT,LT",Goiás,36,1986,13,2,382,42,1,0,1,1,0,0,3,0,08,08,02,1.1,6,4,16,0.24,0.00,0.24,0.24,0.24,0.20,0.06,0.25,0.20,0.25,Partidas
31,Guilherme Arana,br BRA,ZG,Atlético Mineiro,25,1997,28,27,2385,265,2,0,2,2,0,0,2,1,10,10,11,2.1,56,133,122,0.08,0.00,0.08,0.08,0.08,0.04,0.04,0.08,0.04,0.08,Partidas
32,Charles Aránguiz,cl CHI,LT,Internacional,33,1989,22,16,1267,141,0,1,1,0,0,0,3,0,10,10,13,2.2,6,89,28,0.00,0.07,0.07,0.00,0.07,0.07,0.09,0.16,0.07,0.16,Partidas
33,João Araújo,br BRA,LT,Grêmio,17,2005,1,0,8,01,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
34,Luiz Araújo,br BRA,"AT,LT",Flamengo,26,1996,20,10,785,87,3,1,4,3,0,0,2,1,16,16,07,2.2,29,44,112,0.34,0.11,0.46,0.34,0.46,0.18,0.08,0.26,0.18,0.26,Partidas
35,Matheus Araújo,br BRA,"LT,AT",Corinthians,20,2002,16,3,584,65,1,2,3,1,0,0,0,0,12,12,08,2.0,18,30,43,0.15,0.31,0.46,0.15,0.46,0.19,0.13,0.32,0.19,0.32,Partidas
36,Michel Araujo,uy URU,"AT,LT",São Paulo,26,1996,32,19,1768,196,2,1,3,2,0,0,3,0,48,48,24,7.2,71,91,157,0.10,0.05,0.15,0.10,0.15,0.24,0.12,0.37,0.24,0.37,Partidas
37,Robert Arboleda,ec ECU,ZG,São Paulo,31,1991,20,19,1721,191,0,0,0,0,0,0,1,1,09,09,03,1.2,2,42,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidas
38,Jhon Arias,co COL,"AT,LT",Fluminense,25,1997,29,26,2385,265,7,7,14,5,2,2,5,1,58,42,47,8.9,142,108,300,0.26,0.26,0.53,0.19,0.45,0.22,0.18,0.40,0.16,0.34,Partidas
39,Luciano Arriagada,cl CHI,"AT,LT",Ath Paranaense,20,2002,10,1,190,21,0,0,0,0,0,0,0,0,09,09,06,1.5,5,2,12,0.00,0.00,0.00,0.00,0.00,0.42,0.27,0.69,0.42,0.69,Partidas
40,Arthur,br BRA,"AT,LT",Cruzeiro,24,1998,20,17,1350,150,3,1,4,3,0,0,3,0,36,36,13,4.9,66,38,112,0.20,0.07,0.27,0.20,0.27,0.24,0.09,0.33,0.24,0.33,Partidas
41,Arthur,br BRA,ZG,América (MG),19,2003,1,1,90,10,0,0,0,0,0,0,0,0,00,00,00,0.0,5,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidas
42,Arthur,br BRA,"ZG,AT",Fluminense,18,2004,2,0,20,02,0,0,0,0,0,0,0,0,00,00,05,0.5,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,2.44,2.44,0.00,2.44,Partidas
43,Artur,br BRA,AT,Palmeiras,24,1998,31,22,1896,211,5,2,7,5,0,0,2,0,50,50,34,8.4,85,81,218,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.40,0.24,0.40,Partidas
44,Eduard Atuesta,co COL,LT,Palmeiras,25,1997,1,0,5,01,0,0,0,0,0,0,0,0,00,00,00,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
45,Felipe Augusto,br BRA,"AT,LT",Corinthians,18,2004,15,2,322,36,0,0,0,0,0,0,0,0,03,03,00,0.3,4,3,15,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Partidas
46,Filipe Augusto,br BRA,LT,Cuiabá,29,1993,27,9,1065,118,0,0,0,0,0,0,6,1,03,03,09,1.1,9,78,16,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Partidas
47,Renato Augusto,br BRA,LT,Corinthians,34,1988,24,16,1282,142,2,4,6,2,0,0,1,0,11,11,21,3.2,38,98,98,0.14,0.28,0.42,0.14,0.42,0.08,0.15,0.22,0.08,0.22,Partidas
48,Danilo Avelar,br BRA,ZG,América (MG),33,1989,26,24,1984,220,3,1,4,2,1,1,5,1,40,32,07,3.9,11,81,42,0.14,0.05,0.18,0.09,0.14,0.18,0.03,0.21,0.14,0.18,Partidas
49,Felipe Azevedo,br BRA,"AT,LT",América (MG),36,1987,30,25,1748,194,4,1,5,4,0,0,3,1,37,37,20,5.7,31,52,121,0.21,0.05,0.26,0.21,0.26,0.19,0.10,0.29,0.19,0.29,Partidas
50,Matheus Babi,br BRA,AT,Goiás,25,1997,17,8,881,98,4,0,4,4,0,0,5,0,26,26,03,2.8,2,12,39,0.41,0.00,0.41,0.41,0.41,0.26,0.03,0.29,0.26,0.29,Partidas
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
51,Matheus Bahia,br BRA,"ZG,LT",Bahia,23,1999,12,6,493,55,0,0,0,0,0,0,2,0,01,01,04,0.5,15,12,21,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Partidas
52,Fabián Balbuena,py PAR,ZG,Corinthians,31,1991,1,1,89,10,0,0,0,0,0,0,0,0,00,00,00,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidas
53,Robson Bambu,br BRA,ZG,Vasco da Gama,25,1997,18,16,1280,142,0,0,0,0,0,0,6,0,05,05,01,0.6,5,33,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidas
54,Gabriel Baralhas,br BRA,LT,Internacional,24,1998,5,2,236,26,0,0,0,0,0,0,0,0,01,01,01,0.2,3,13,5,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Partidas
55,Danilo Barbosa,br BRA,"LT,ZG",Botafogo (RJ),26,1996,23,10,1011,112,3,0,3,3,0,0,5,0,10,10,01,1.2,14,54,7,0.27,0.00,0.27,0.27,0.27,0.09,0.01,0.10,0.09,0.10,Partidas
